@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
132,2081,5,16172,127,0.992208,0.997603,0.114009,0.997603,0.885991,0.204631,0.99282,1.004817,0.056979
133,2081,5,16171,128,0.992147,0.997603,0.114015,0.997603,0.885985,0.204642,0.992766,1.004872,0.056979
134,2081,5,16170,129,0.992085,0.997603,0.114021,0.997603,0.885979,0.204652,0.992711,1.004928,0.057048
135,2081,5,16169,130,0.992024,0.997603,0.114027,0.997603,0.885973,0.204662,0.992657,1.004983,0.05708
136,2081,5,16168,131,0.991963,0.997603,0.114034,0.997603,0.885966,0.204672,0.992603,1.005038,0.057084
137,2080,6,16168,131,0.991963,0.997124,0.113985,0.997124,0.886015,0.204583,0.992548,1.00461,0.057158
138,2080,6,16167,132,0.991901,0.997124,0.113991,0.997124,0.886009,0.204594,0.992494,1.004665,0.057163
139,2080,6,16166,133,0.99184,0.997124,0.113998,0.997124,0.886002,0.204604,0.992439,1.00472,0.057164
140,2080,6,16165,134,0.991779,0.997124,0.114004,0.997124,0.885996,0.204614,0.992385,1.004775,0.057172
141,2080,6,16164,135,0.991717,0.997124,0.11401,0.997124,0.88599,0.204624,0.992331,1.00483,0.057178
142,2080,6,16163,136,0.991656,0.997124,0.114016,0.997124,0.885984,0.204634,0.992276,1.004885,0.057197
143,2080,6,16162,137,0.991595,0.997124,0.114023,0.997124,0.885977,0.204644,0.992222,1.00494,0.057204
144,2080,6,16161,138,0.991533,0.997124,0.114029,0.997124,0.885971,0.204654,0.992168,1.004995,0.057221
145,2080,6,16160,139,0.991472,0.997124,0.114035,0.997124,0.885965,0.204664,0.992113,1.00505,0.057223
146,2080,6,16159,140,0.991411,0.997124,0.114041,0.997124,0.885959,0.204674,0.992059,1.005105,0.057314
147,2080,6,16158,141,0.991349,0.997124,0.114048,0.997124,0.885952,0.204684,0.992004,1.005161,0.057335
148,2080,6,16157,142,0.991288,0.997124,0.114054,0.997124,0.885946,0.204694,0.99195,1.005216,0.057348
149,2080,6,16156,143,0.991226,0.997124,0.11406,0.997124,0.88594,0.204704,0.991896,1.005271,0.057348
150,2080,6,16155,144,0.991165,0.997124,0.114066,0.997124,0.885934,0.204714,0.991841,1.005326,0.057358
151,2080,6,16154,145,0.991104,0.997124,0.114073,0.997124,0.885927,0.204724,0.991787,1.005381,0.057362
152,2080,6,16153,146,0.991042,0.997124,0.114079,0.997124,0.885921,0.204734,0.991732,1.005436,0.057364
153,2079,7,16153,146,0.991042,0.996644,0.11403,0.996644,0.88597,0.204646,0.991678,1.005008,0.057377
154,2079,7,16152,147,0.990981,0.996644,0.114037,0.996644,0.885963,0.204656,0.991624,1.005063,0.057384
155,2079,7,16151,148,0.99092,0.996644,0.114043,0.996644,0.885957,0.204666,0.991569,1.005118,0.057423
156,2078,8,16151,148,0.99092,0.996165,0.113994,0.996165,0.886006,0.204578,0.991515,1.00469,0.057435
157,2078,8,16150,149,0.990858,0.996165,0.114,0.996165,0.886,0.204588,0.99146,1.004745,0.057486
158,2078,8,16149,150,0.990797,0.996165,0.114007,0.996165,0.885993,0.204598,0.991406,1.0048,0.057544
159,2078,8,16148,151,0.990736,0.996165,0.114013,0.996165,0.885987,0.204608,0.991352,1.004855,0.057558
160,2078,8,16147,152,0.990674,0.996165,0.114019,0.996165,0.885981,0.204618,0.991297,1.00491,0.057582
161,2078,8,16146,153,0.990613,0.996165,0.114025,0.996165,0.885975,0.204628,0.991243,1.004966,0.057607
162,2078,8,16145,154,0.990552,0.996165,0.114032,0.996165,0.885968,0.204638,0.991188,1.005021,0.057638
163,2078,8,16144,155,0.99049,0.996165,0.114038,0.996165,0.885962,0.204648,0.991134,1.005076,0.057643
164,2078,8,16143,156,0.990429,0.996165,0.114044,0.996165,0.885956,0.204658,0.99108,1.005131,0.057664
165,2078,8,16142,157,0.990368,0.996165,0.11405,0.996165,0.88595,0.204669,0.991025,1.005186,0.057669
166,2078,8,16141,158,0.990306,0.996165,0.114057,0.996165,0.885943,0.204679,0.990971,1.005241,0.057701
167,2078,8,16140,159,0.990245,0.996165,0.114063,0.996165,0.885937,0.204689,0.990917,1.005297,0.057707
168,2078,8,16139,160,0.990183,0.996165,0.114069,0.996165,0.885931,0.204699,0.990862,1.005352,0.057709
169,2078,8,16138,161,0.990122,0.996165,0.114076,0.996165,0.885924,0.204709,0.990808,1.005407,0.05775
170,2077,9,16138,161,0.990122,0.995686,0.114027,0.995686,0.885973,0.20462,0.990753,1.004978,0.057756
171,2077,9,16137,162,0.990061,0.995686,0.114033,0.995686,0.885967,0.204631,0.990699,1.005033,0.057768
172,2077,9,16136,163,0.989999,0.995686,0.114039,0.995686,0.885961,0.204641,0.990645,1.005089,0.057799
173,2077,9,16135,164,0.989938,0.995686,0.114046,0.995686,0.885954,0.204651,0.99059,1.005144,0.057819
174,2077,9,16134,165,0.989877,0.995686,0.114052,0.995686,0.885948,0.204661,0.990536,1.005199,0.05785
175,2077,9,16133,166,0.989815,0.995686,0.114058,0.995686,0.885942,0.204671,0.990481,1.005254,0.057852
176,2077,9,16132,167,0.989754,0.995686,0.114064,0.995686,0.885936,0.204681,0.990427,1.005309,0.057884
177,2077,9,16131,168,0.989693,0.995686,0.114071,0.995686,0.885929,0.204691,0.990373,1.005365,0.057905
178,2077,9,16130,169,0.989631,0.995686,0.114077,0.995686,0.885923,0.204701,0.990318,1.00542,0.057924
179,2077,9,16129,170,0.98957,0.995686,0.114083,0.995686,0.885917,0.204711,0.990264,1.005475,0.05794
180,2077,9,16128,171,0.989509,0.995686,0.11409,0.995686,0.88591,0.204721,0.990209,1.00553,0.057941
181,2077,9,16127,172,0.989447,0.995686,0.114096,0.995686,0.885904,0.204731,0.990155,1.005585,0.057955
182,2077,9,16126,173,0.989386,0.995686,0.114102,0.995686,0.885898,0.204741,0.990101,1.005641,0.057995
183,2077,9,16125,174,0.989324,0.995686,0.114108,0.995686,0.885892,0.204752,0.990046,1.005696,0.057996
184,2077,9,16124,175,0.989263,0.995686,0.114115,0.995686,0.885885,0.204762,0.989992,1.005751,0.058006
185,2077,9,16123,176,0.989202,0.995686,0.114121,0.995686,0.885879,0.204772,0.989937,1.005807,0.058007
186,2077,9,16122,177,0.98914,0.995686,0.114127,0.995686,0.885873,0.204782,0.989883,1.005862,0.058063
187,2076,10,16122,177,0.98914,0.995206,0.114078,0.995206,0.885922,0.204693,0.989829,1.005433,0.058072
188,2076,10,16121,178,0.989079,0.995206,0.114085,0.995206,0.885915,0.204703,0.989774,1.005488,0.058102
189,2076,10,16120,179,0.989018,0.995206,0.114091,0.995206,0.885909,0.204714,0.98972,1.005543,0.05811
190,2076,10,16119,180,0.988956,0.995206,0.114097,0.995206,0.885903,0.204724,0.989665,1.005599,0.058157
191,2076,10,16118,181,0.988895,0.995206,0.114104,0.995206,0.885896,0.204734,0.989611,1.005654,0.058173
192,2076,10,16117,182,0.988834,0.995206,0.11411,0.995206,0.88589,0.204744,0.989557,1.005709,0.058181
193,2076,10,16116,183,0.988772,0.995206,0.114116,0.995206,0.885884,0.204754,0.989502,1.005764,0.058246
194,2076,10,16115,184,0.988711,0.995206,0.114122,0.995206,0.885878,0.204764,0.989448,1.00582,0.058249
195,2076,10,16114,185,0.98865,0.995206,0.114129,0.995206,0.885871,0.204774,0.989394,1.005875,0.058285
196,2076,10,16113,186,0.988588,0.995206,0.114135,0.995206,0.885865,0.204784,0.989339,1.00593,0.058297
197,2076,10,16112,187,0.988527,0.995206,0.114141,0.995206,0.885859,0.204794,0.989285,1.005986,0.058299
198,2076,10,16111,188,0.988466,0.995206,0.114147,0.995206,0.885853,0.204804,0.98923,1.006041,0.058312
199,2076,10,16110,189,0.988404,0.995206,0.114154,0.995206,0.885846,0.204815,0.989176,1.006096,0.058326
200,2076,10,16109,190,0.988343,0.995206,0.11416,0.995206,0.88584,0.204825,0.989122,1.006151,0.058338
201,2076,10,16108,191,0.988281,0.995206,0.114166,0.995206,0.885834,0.204835,0.989067,1.006207,0.058366
202,2076,10,16107,192,0.98822,0.995206,0.114173,0.995206,0.885827,0.204845,0.989013,1.006262,0.058388
203,2076,10,16106,193,0.988159,0.995206,0.114179,0.995206,0.885821,0.204855,0.988958,1.006318,0.058395
204,2076,10,16105,194,0.988097,0.995206,0.114185,0.995206,0.885815,0.204865,0.988904,1.006373,0.058412
205,2076,10,16104,195,0.988036,0.995206,0.114191,0.995206,0.885809,0.204875,0.98885,1.006428,0.058414
206,2076,10,16103,196,0.987975,0.995206,0.114198,0.995206,0.885802,0.204885,0.988795,1.006484,0.058421
207,2076,10,16102,197,0.987913,0.995206,0.114204,0.995206,0.885796,0.204895,0.988741,1.006539,0.058459
