@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
113,1236,1407,6588,13822,0.322783,0.46765,0.157975,0.46765,0.842025,0.236171,0.339392,1.377907,0.349162
114,1224,1419,6524,13886,0.319647,0.46311,0.157976,0.46311,0.842024,0.235588,0.336095,1.377914,0.356738
115,1207,1436,6374,14036,0.312298,0.456678,0.159214,0.456678,0.840786,0.236111,0.328851,1.388708,0.357143
116,1201,1442,6352,14058,0.31122,0.454408,0.15901,0.454408,0.84099,0.235583,0.327636,1.386928,0.358852
117,1197,1446,6304,14106,0.308868,0.452894,0.159579,0.452894,0.840421,0.236002,0.325381,1.391891,0.363128
118,1196,1447,6304,14106,0.308868,0.452516,0.159467,0.452516,0.840533,0.235828,0.325337,1.390914,0.363636
119,1195,1448,6296,14114,0.308476,0.452138,0.159525,0.452138,0.840475,0.23584,0.324947,1.39142,0.367232
120,1190,1453,6224,14186,0.304949,0.450246,0.160507,0.450246,0.839493,0.236651,0.321607,1.399989,0.37037
121,1190,1453,6218,14192,0.304655,0.450246,0.160637,0.450246,0.839363,0.236792,0.321346,1.401123,0.375
122,1188,1455,6217,14193,0.304606,0.449489,0.160432,0.449489,0.839568,0.236465,0.321216,1.399335,0.375254
123,1188,1455,6215,14195,0.304508,0.449489,0.160475,0.449489,0.839525,0.236512,0.32113,1.399713,0.377358
124,1188,1455,6207,14203,0.304116,0.449489,0.160649,0.449489,0.839351,0.236701,0.320783,1.401227,0.380693
125,1187,1456,6207,14203,0.304116,0.449111,0.160536,0.449111,0.839464,0.236525,0.320739,1.400237,0.382903
126,1162,1481,6014,14396,0.294659,0.439652,0.161929,0.439652,0.838071,0.236684,0.311283,1.412388,0.384615
127,1154,1489,5975,14435,0.292749,0.436625,0.161874,0.436625,0.838126,0.236185,0.309244,1.411912,0.392157
128,1154,1489,5965,14445,0.292259,0.436625,0.162101,0.436625,0.837899,0.236427,0.30881,1.413895,0.393939
129,1135,1508,5810,14600,0.284664,0.429436,0.163427,0.429436,0.836573,0.236754,0.301262,1.425456,0.394737
130,1133,1510,5801,14609,0.284223,0.42868,0.163398,0.42868,0.836602,0.236609,0.300785,1.425202,0.4
131,1131,1512,5765,14645,0.28246,0.427923,0.164008,0.427923,0.835992,0.237132,0.299137,1.430526,0.401747
132,1131,1512,5763,14647,0.282362,0.427923,0.164056,0.427923,0.835944,0.237182,0.29905,1.430941,0.403226
133,1131,1512,5754,14656,0.281921,0.427923,0.16427,0.427923,0.83573,0.237406,0.29866,1.432811,0.403509
134,1127,1516,5699,14711,0.279226,0.426409,0.165104,0.426409,0.834896,0.23804,0.2961,1.440084,0.405738
135,1103,1540,5480,14930,0.268496,0.417329,0.167553,0.417329,0.832447,0.239107,0.285559,1.461443,0.409564
136,1053,1590,5086,15324,0.249192,0.398411,0.171526,0.398411,0.828474,0.239809,0.266299,1.496101,0.410959
137,1050,1593,5069,15341,0.248359,0.397276,0.171597,0.397276,0.828403,0.239671,0.265432,1.496715,0.411765
138,1039,1604,4972,15438,0.243606,0.393114,0.17285,0.393114,0.82715,0.24012,0.260747,1.507645,0.415987
139,1005,1638,4770,15640,0.233709,0.38025,0.174026,0.38025,0.825974,0.238774,0.25051,1.517904,0.416667
140,1002,1641,4738,15672,0.232141,0.379115,0.174564,0.379115,0.825436,0.239055,0.248991,1.522601,0.418994
141,1002,1641,4737,15673,0.232092,0.379115,0.174595,0.379115,0.825405,0.239084,0.248948,1.522866,0.421348
142,997,1646,4720,15690,0.231259,0.377223,0.174392,0.377223,0.825608,0.238517,0.247994,1.521098,0.426829
143,996,1647,4709,15701,0.23072,0.376844,0.174584,0.376844,0.825416,0.23862,0.247473,1.522769,0.431034
144,994,1649,4682,15728,0.229397,0.376088,0.175123,0.376088,0.824877,0.238971,0.246215,1.527476,0.432099
145,992,1651,4672,15738,0.228907,0.375331,0.175141,0.375331,0.824859,0.238835,0.245695,1.527632,0.434783
146,992,1651,4648,15762,0.227732,0.375331,0.175887,0.375331,0.824113,0.239527,0.244654,1.534132,0.435673
147,992,1651,4647,15763,0.227683,0.375331,0.175918,0.375331,0.824082,0.239556,0.24461,1.534405,0.438596
148,990,1653,4628,15782,0.226752,0.374574,0.176219,0.374574,0.823781,0.23968,0.243699,1.537035,0.441176
149,987,1656,4599,15811,0.225331,0.373439,0.176692,0.373439,0.823308,0.239883,0.242311,1.541156,0.443038
150,986,1657,4584,15826,0.224596,0.373061,0.17702,0.373061,0.82298,0.240107,0.241617,1.544017,0.45045
151,982,1661,4556,15854,0.223224,0.371547,0.17732,0.371547,0.82268,0.240068,0.240229,1.546639,0.451264
152,974,1669,4501,15909,0.220529,0.368521,0.1779,0.368521,0.8221,0.239961,0.237496,1.551691,0.452179
153,974,1669,4500,15910,0.22048,0.368521,0.177932,0.368521,0.822068,0.23999,0.237453,1.551974,0.454545
154,968,1675,4466,15944,0.218814,0.36625,0.178138,0.36625,0.821862,0.239693,0.235718,1.553767,0.456432
155,964,1679,4419,15991,0.216512,0.364737,0.179082,0.364737,0.820918,0.240219,0.233505,1.562007,0.459184
156,958,1685,4405,16005,0.215826,0.362467,0.178631,0.362467,0.821369,0.239321,0.232638,1.558074,0.460526
157,957,1686,4383,16027,0.214748,0.362089,0.179213,0.362089,0.820787,0.239759,0.23164,1.563151,0.461538
158,954,1689,4374,16036,0.214307,0.360953,0.179054,0.360953,0.820946,0.239368,0.23112,1.561761,0.465116
159,952,1691,4367,16043,0.213964,0.360197,0.178981,0.360197,0.821019,0.239136,0.230729,1.561123,0.46875
160,946,1697,4293,16117,0.210338,0.357927,0.180569,0.357927,0.819431,0.240041,0.227259,1.574973,0.469314
161,941,1702,4236,16174,0.207545,0.356035,0.181766,0.356035,0.818234,0.240665,0.224569,1.585411,0.469799
162,939,1704,4209,16201,0.206222,0.355278,0.182401,0.355278,0.817599,0.241047,0.223311,1.590953,0.471698
163,937,1706,4195,16215,0.205537,0.354521,0.18258,0.354521,0.81742,0.241029,0.222617,1.592514,0.473684
164,935,1708,4181,16229,0.204851,0.353765,0.18276,0.353765,0.81724,0.24101,0.221923,1.594085,0.47619
165,933,1710,4151,16259,0.203381,0.353008,0.183517,0.353008,0.816483,0.241491,0.220535,1.600687,0.478723
166,931,1712,4128,16282,0.202254,0.352251,0.184028,0.352251,0.815972,0.241755,0.219451,1.605149,0.480769
167,931,1712,4113,16297,0.201519,0.352251,0.184576,0.352251,0.815424,0.242227,0.2188,1.609922,0.481833
168,891,1752,3934,16476,0.192749,0.337117,0.184663,0.337117,0.815337,0.238618,0.2093,1.610685,0.482082
169,866,1777,3717,16693,0.182117,0.327658,0.188959,0.327658,0.811041,0.23969,0.198803,1.648156,0.482234
170,859,1784,3682,16728,0.180402,0.325009,0.189165,0.325009,0.810835,0.239143,0.196981,1.649954,0.483871
171,856,1787,3648,16762,0.178736,0.323874,0.190053,0.323874,0.809947,0.239541,0.195376,1.657699,0.484375
172,843,1800,3603,16807,0.176531,0.318956,0.189609,0.318956,0.810391,0.237833,0.19286,1.653821,0.486111
173,842,1801,3592,16818,0.175992,0.318577,0.189896,0.318577,0.810104,0.237954,0.192339,1.656329,0.487805
174,829,1814,3513,16897,0.172122,0.313659,0.190926,0.313659,0.809074,0.237366,0.188349,1.66531,0.490483
175,811,1832,3394,17016,0.166291,0.306848,0.192866,0.306848,0.807134,0.236857,0.182406,1.682229,0.491071
176,805,1838,3358,17052,0.164527,0.304578,0.19337,0.304578,0.80663,0.236556,0.180584,1.68663,0.491803
177,799,1844,3322,17088,0.162763,0.302308,0.193885,0.302308,0.806115,0.236251,0.178762,1.69112,0.492228
178,799,1844,3321,17089,0.162714,0.302308,0.193932,0.302308,0.806068,0.236286,0.178719,1.691531,0.492958
179,798,1845,3314,17096,0.162371,0.30193,0.194066,0.30193,0.805934,0.236269,0.178372,1.6927,0.497076
180,798,1845,3284,17126,0.160902,0.30193,0.195492,0.30193,0.804508,0.237323,0.17707,1.705141,0.5
181,791,1852,3236,17174,0.15855,0.299281,0.196424,0.299281,0.803576,0.237181,0.174684,1.713267,0.504386
182,786,1857,3201,17209,0.156835,0.297389,0.197141,0.297389,0.802859,0.237104,0.172949,1.719517,0.510204
183,786,1857,3193,17217,0.156443,0.297389,0.197537,0.297389,0.802463,0.237391,0.172602,1.722975,0.512821
184,784,1859,3175,17235,0.155561,0.296633,0.19803,0.296633,0.80197,0.237504,0.171735,1.727272,0.514019
185,784,1859,3173,17237,0.155463,0.296633,0.19813,0.296633,0.80187,0.237576,0.171648,1.728145,0.516432
186,776,1867,3147,17263,0.154189,0.293606,0.197808,0.293606,0.802192,0.236369,0.170173,1.725336,0.517241
187,773,1870,3134,17276,0.153552,0.292471,0.19785,0.292471,0.80215,0.236031,0.169479,1.725704,0.519802
188,767,1876,3072,17338,0.150514,0.290201,0.199792,0.290201,0.800208,0.236655,0.166529,1.742639,0.520833
189,765,1878,3062,17348,0.150024,0.289444,0.199895,0.289444,0.800105,0.236476,0.166009,1.743545,0.522876
190,760,1883,3043,17367,0.149094,0.287552,0.199842,0.287552,0.800158,0.235805,0.164968,1.743081,0.525273
191,760,1883,3042,17368,0.149045,0.287552,0.199895,0.287552,0.800105,0.235842,0.164924,1.743539,0.526316
192,751,1892,2981,17429,0.146056,0.284147,0.201233,0.284147,0.798767,0.235608,0.161888,1.755208,0.530786
193,734,1909,2917,17493,0.14292,0.277715,0.201041,0.277715,0.798959,0.233238,0.158374,1.753535,0.531309
194,723,1920,2849,17561,0.139588,0.273553,0.202408,0.273553,0.797592,0.232663,0.154947,1.765457,0.531915
195,723,1920,2841,17569,0.139196,0.273553,0.202862,0.273553,0.797138,0.232963,0.1546,1.76942,0.532946
196,723,1920,2840,17570,0.139147,0.273553,0.202919,0.273553,0.797081,0.233,0.154557,1.769916,0.533333
197,723,1920,2824,17586,0.138364,0.273553,0.203834,0.273553,0.796166,0.233603,0.153863,1.7779,0.533981
198,723,1920,2806,17604,0.137482,0.273553,0.204874,0.273553,0.795126,0.234284,0.153082,1.786969,0.535714
199,712,1931,2797,17613,0.137041,0.269391,0.202907,0.269391,0.797093,0.231469,0.152214,1.769811,0.538462
200,711,1932,2796,17614,0.136992,0.269012,0.202737,0.269012,0.797263,0.23122,0.152128,1.768333,0.540541
201,707,1936,2779,17631,0.136159,0.267499,0.202811,0.267499,0.797189,0.230706,0.151217,1.768978,0.543478
202,705,1938,2769,17641,0.135669,0.266742,0.202936,0.266742,0.797064,0.230505,0.150696,1.770067,0.544472
203,704,1939,2769,17641,0.135669,0.266364,0.202707,0.266364,0.797293,0.230216,0.150653,1.768065,0.547945
204,702,1941,2742,17668,0.134346,0.265607,0.203833,0.265607,0.796167,0.230655,0.149395,1.777887,0.548148
205,684,1959,2646,17764,0.129642,0.258797,0.205405,0.258797,0.794595,0.229031,0.14445,1.791605,0.55
206,674,1969,2623,17787,0.128515,0.255013,0.204428,0.255013,0.795572,0.226936,0.143018,1.783082,0.554907
207,674,1969,2622,17788,0.128466,0.255013,0.20449,0.255013,0.79551,0.226974,0.142975,1.783623,0.555556
208,648,1995,2467,17943,0.120872,0.245176,0.208026,0.245176,0.791974,0.225078,0.135123,1.814459,0.559006
209,643,2000,2439,17971,0.1195,0.243284,0.208631,0.243284,0.791369,0.224629,0.133692,1.819737,0.5625
210,638,2005,2428,17982,0.118961,0.241392,0.208089,0.241392,0.791911,0.223507,0.132998,1.815009,0.568182
211,638,2005,2419,17991,0.11852,0.241392,0.208701,0.241392,0.791299,0.22386,0.132607,1.820353,0.571429
212,638,2005,2417,17993,0.118422,0.241392,0.208838,0.241392,0.791162,0.223938,0.132521,1.821544,0.572052
213,638,2005,2414,17996,0.118275,0.241392,0.209043,0.241392,0.790957,0.224056,0.132391,1.823335,0.576923
214,629,2014,2367,18043,0.115973,0.237987,0.209947,0.237987,0.790053,0.223089,0.129961,1.831214,0.581897
215,621,2022,2335,18075,0.114405,0.23496,0.210081,0.23496,0.789919,0.221825,0.128226,1.832388,0.582524
216,621,2022,2334,18076,0.114356,0.23496,0.210152,0.23496,0.789848,0.221865,0.128183,1.833008,0.584416
217,620,2023,2320,18090,0.11367,0.234582,0.210884,0.234582,0.789116,0.222103,0.127532,1.839393,0.586735
218,617,2026,2290,18120,0.1122,0.233447,0.212246,0.233447,0.787754,0.222342,0.126101,1.851273,0.587121
219,606,2037,2231,18179,0.109309,0.229285,0.213606,0.229285,0.786394,0.221168,0.123064,1.863132,0.588235
220,592,2051,2166,18244,0.106124,0.223988,0.214648,0.223988,0.785352,0.219219,0.119637,1.872224,0.5902
221,592,2051,2165,18245,0.106075,0.223988,0.214726,0.223988,0.785274,0.219259,0.119594,1.872903,0.592105
222,589,2054,2152,18258,0.105439,0.222853,0.214885,0.222853,0.785115,0.218796,0.1189,1.874289,0.59322
223,589,2054,2144,18266,0.105047,0.222853,0.215514,0.222853,0.784486,0.219122,0.118553,1.879775,0.594126
224,589,2054,2142,18268,0.104949,0.222853,0.215672,0.222853,0.784328,0.219204,0.118466,1.881152,0.595238
225,588,2055,2132,18278,0.104459,0.222474,0.216176,0.222474,0.783824,0.21928,0.117989,1.885553,0.597015
