@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
159,2643,0,20052,358,0.98246,1,0.116457,1,0.883543,0.208619,0.984471,1.015774,0.002691
160,2643,0,20051,359,0.982411,1,0.116463,1,0.883537,0.208628,0.984427,1.015819,0.002837
161,2643,0,20050,360,0.982362,1,0.116468,1,0.883532,0.208636,0.984384,1.015864,0.003141
162,2643,0,20047,363,0.982215,1,0.116483,1,0.883517,0.208661,0.984254,1.015998,0.003258
163,2643,0,20046,364,0.982166,1,0.116488,1,0.883512,0.208669,0.98421,1.016043,0.003261
164,2643,0,20045,365,0.982117,1,0.116493,1,0.883507,0.208677,0.984167,1.016088,0.003331
165,2643,0,20044,366,0.982068,1,0.116498,1,0.883502,0.208685,0.984124,1.016133,0.003392
166,2643,0,20043,367,0.982019,1,0.116504,1,0.883496,0.208694,0.98408,1.016177,0.00361
167,2643,0,20042,368,0.98197,1,0.116509,1,0.883491,0.208702,0.984037,1.016222,0.003744
168,2643,0,20041,369,0.981921,1,0.116514,1,0.883486,0.20871,0.983993,1.016267,0.003872
169,2643,0,20040,370,0.981872,1,0.116519,1,0.883481,0.208718,0.98395,1.016312,0.00397
170,2643,0,20039,371,0.981823,1,0.116524,1,0.883476,0.208727,0.983907,1.016357,0.004043
171,2643,0,20038,372,0.981774,1,0.116529,1,0.883471,0.208735,0.983863,1.016401,0.004289
172,2643,0,20037,373,0.981725,1,0.116534,1,0.883466,0.208743,0.98382,1.016446,0.004294
173,2643,0,20036,374,0.981676,1,0.11654,1,0.88346,0.208751,0.983777,1.016491,0.004847
174,2643,0,20035,375,0.981627,1,0.116545,1,0.883455,0.20876,0.983733,1.016536,0.005582
175,2643,0,20034,376,0.981578,1,0.11655,1,0.88345,0.208768,0.98369,1.016581,0.005689
176,2643,0,20033,377,0.981529,1,0.116555,1,0.883445,0.208776,0.983646,1.016626,0.00638
177,2643,0,20032,378,0.98148,1,0.11656,1,0.88344,0.208784,0.983603,1.01667,0.008567
178,2643,0,20031,379,0.981431,1,0.116565,1,0.883435,0.208793,0.98356,1.016715,0.008699
179,2643,0,20030,380,0.981382,1,0.11657,1,0.88343,0.208801,0.983516,1.01676,0.018091
180,2643,0,20029,381,0.981333,1,0.116576,1,0.883424,0.208809,0.983473,1.016805,0.019239
181,2643,0,20028,382,0.981284,1,0.116581,1,0.883419,0.208817,0.983429,1.01685,0.021927
182,2643,0,20027,383,0.981235,1,0.116586,1,0.883414,0.208826,0.983386,1.016895,0.024704
183,2643,0,20026,384,0.981186,1,0.116591,1,0.883409,0.208834,0.983343,1.016939,0.027389
184,2643,0,20025,385,0.981137,1,0.116596,1,0.883404,0.208842,0.983299,1.016984,0.029655
185,2643,0,20024,386,0.981088,1,0.116601,1,0.883399,0.20885,0.983256,1.017029,0.030713
186,2643,0,20023,387,0.981039,1,0.116606,1,0.883394,0.208859,0.983213,1.017074,0.03238
187,2643,0,20022,388,0.98099,1,0.116612,1,0.883388,0.208867,0.983169,1.017119,0.038289
188,2643,0,20021,389,0.980941,1,0.116617,1,0.883383,0.208875,0.983126,1.017164,0.043026
189,2643,0,20020,390,0.980892,1,0.116622,1,0.883378,0.208883,0.983082,1.017209,0.0468
190,2643,0,20019,391,0.980843,1,0.116627,1,0.883373,0.208892,0.983039,1.017254,0.047325
191,2643,0,20018,392,0.980794,1,0.116632,1,0.883368,0.2089,0.982996,1.017298,0.063534
