@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
175,2641,2,20089,321,0.984272,0.999243,0.11619,0.999243,0.88381,0.208174,0.985989,1.013443,0.001233
176,2641,2,20088,322,0.984223,0.999243,0.116195,0.999243,0.883805,0.208182,0.985945,1.013487,0.00129
177,2641,2,20087,323,0.984174,0.999243,0.1162,0.999243,0.8838,0.20819,0.985902,1.013532,0.001344
178,2641,2,20086,324,0.984125,0.999243,0.116205,0.999243,0.883795,0.208199,0.985859,1.013577,0.001378
179,2641,2,20085,325,0.984076,0.999243,0.116211,0.999243,0.883789,0.208207,0.985815,1.013621,0.001394
180,2641,2,20084,326,0.984027,0.999243,0.116216,0.999243,0.883784,0.208215,0.985772,1.013666,0.001481
181,2641,2,20083,327,0.983978,0.999243,0.116221,0.999243,0.883779,0.208223,0.985729,1.01371,0.001481
182,2641,2,20082,328,0.983929,0.999243,0.116226,0.999243,0.883774,0.208231,0.985685,1.013755,0.001515
183,2641,2,20081,329,0.98388,0.999243,0.116231,0.999243,0.883769,0.20824,0.985642,1.0138,0.001555
184,2641,2,20077,333,0.983684,0.999243,0.116251,0.999243,0.883749,0.208273,0.985468,1.013978,0.001555
185,2641,2,20076,334,0.983635,0.999243,0.116257,0.999243,0.883743,0.208281,0.985425,1.014023,0.001569
186,2641,2,20075,335,0.983586,0.999243,0.116262,0.999243,0.883738,0.208289,0.985382,1.014067,0.001574
187,2641,2,20070,340,0.983341,0.999243,0.116287,0.999243,0.883713,0.20833,0.985165,1.014291,0.001634
188,2641,2,20068,342,0.983244,0.999243,0.116298,0.999243,0.883702,0.208346,0.985078,1.01438,0.001806
189,2640,3,20068,342,0.983244,0.998865,0.116259,0.998865,0.883741,0.208276,0.985034,1.014041,0.001822
190,2640,3,20067,343,0.983195,0.998865,0.116264,0.998865,0.883736,0.208284,0.984991,1.014085,0.001852
191,2640,3,20066,344,0.983146,0.998865,0.116269,0.998865,0.883731,0.208292,0.984948,1.01413,0.001868
192,2640,3,20065,345,0.983097,0.998865,0.116274,0.998865,0.883726,0.2083,0.984904,1.014175,0.001904
